ID,data_entry_ID,yr,nestbox_number,site,occupied,replacement_clutch,experimental_box,experiment,treatment,species,first_egg_date,laying_complete,clutch_size,clutch_size_manip,clutch_complete,expected_hatch,observed_hatch,hatch_deviation,male_caught,female_caught,hatchlings,hatchlings_manip,unhatched_eggs,fledglings,success,male_ring,female_ring
,,2023,150,SCENE,1,,0,,,bluti,29/04/2023,06/05/2023,8,,TRUE,19/05/2023,19/05/2023,0,n,n,8,,0,8,1,,
,,2023,151,SCENE,1,,1,probiotic,,bluti,25/04/2023,02/05/2023,9,,TRUE,15/05/2023,15/05/2023,0,y,y,9,,0,9,1,AET1968,APL4046
,,2023,152,SCENE,1,,0,,,greti,17/05/2023,23/05/2023,7,,TRUE,05/06/2023,03/06/2023,-2,n,n,4,,3,2,1,,
,,2023,153,SCENE,1,,0,,,greti,01/05/2023,07/05/2023,7,,TRUE,20/05/2023,20/05/2023,0,n,n,7,,0,7,1,,
,,2023,154,SCENE,1,,0,,,bluti,01/05/2023,09/05/2023,9,,TRUE,22/05/2023,22/05/2023,0,n,n,9,,0,9,1,,
,,2023,155,SCENE,1,,0,,,greti,01/05/2023,05/05/2023,5,,TRUE,18/05/2023,17/05/2023,-1,n,n,5,,0,5,1,,
,,2023,156,SCENE,1,,0,,,nutha,,,,,,,,,,,,,,,2,,
,,2023,157,SCENE,1,,0,,,bluti,07/05/2023,,4,,FALSE,,,,n,n,0,,4,0,0,,
,,2023,159,SCENE,1,,0,,,bluti,30/04/2023,07/05/2023,8,,TRUE,20/05/2023,21/05/2023,1,n,n,8,,0,8,1,,
,,2023,160,SCENE,1,,0,,,bluti,03/05/2023,11/05/2023,8,,TRUE,24/05/2023,24/05/2023,0,n,y,8,,0,3,1,,BAA0108
,,2023,161,SCENE,1,,0,,,piefl,09/05/2023,15/05/2023,7,,TRUE,28/05/2023,28/05/2023,0,n,n,7,,0,6,1,,
,,2023,162,SCENE,1,,0,,,bluti,10/05/2023,16/05/2023,8,,TRUE,29/05/2023,29/05/2023,0,n,n,6,,2,5,1,,
,,2023,163,SCENE,1,,0,,,bluti,03/05/2023,,1,,FALSE,,,,n,n,0,,1,0,0,,
,,2023,164,SCENE,0,,0,,,,,,,,,,,,,,,,,,,,
