nestbox_number,site,lat,long,HPD50,IS50,TD50,L50,HPD100,IS100,TD100,L100,HPD200,IS200,TD200,L200,HPD500,IS500,TD500,L500
1,cashel,56.1291,-4.61478,0,0,67.01234568,0.209199756,0,2.088328076,63.07886435,0.209199756,0,1.149443561,57.1327504,0.216342613,0,0.184063136,50.598778,0.176878329
1,SCENE,56.1291,-4.61478,0,0,67.01234568,0.209199756,0,2.088328076,63.07886435,0.209199756,0,1.149443561,57.1327504,0.216342613,0,0.184063136,50.598778,0.176878329
1,cochno,56.1291,-4.61478,0,0,67.01234568,0.209199756,0,2.088328076,63.07886435,0.209199756,0,1.149443561,57.1327504,0.216342613,0,0.184063136,50.598778,0.176878329
1,kelvingrove_park,56.1291,-4.61478,0,0,67.01234568,0.209199756,0,2.088328076,63.07886435,0.209199756,0,1.149443561,57.1327504,0.216342613,0,0.184063136,50.598778,0.176878329
10,kelvingrove_park,56.1302,-4.6162,0,0,69.71794872,0.209199756,0,0,69.79487179,0.209199756,0,0.022257552,64.97138315,0.209199756,0,0.183969466,57.83231552,0.170866425
10,SCENE,56.1302,-4.6162,0,0,69.71794872,0.209199756,0,0,69.79487179,0.209199756,0,0.022257552,64.97138315,0.209199756,0,0.183969466,57.83231552,0.170866425
10,cochno,56.1302,-4.6162,0,0,69.71794872,0.209199756,0,0,69.79487179,0.209199756,0,0.022257552,64.97138315,0.209199756,0,0.183969466,57.83231552,0.170866425
10,cashel,56.1302,-4.6162,0,0,69.71794872,0.209199756,0,0,69.79487179,0.209199756,0,0.022257552,64.97138315,0.209199756,0,0.183969466,57.83231552,0.170866425
100,SCENE,56.12685,-4.6187,0,0,68.62962963,0.183485478,0,0,68.08227848,0.183485478,0,0,62.30047695,0.183485478,0,0.183992874,48.31301692,0.174021181
101,SCENE,56.12705,-4.6186,0,0,68.925,0.183485478,0,0,67.91455696,0.183485478,0,0,64.14228935,0.183485478,0,0.184063136,49.65682281,0.174021181
102,SCENE,56.12675,-4.6184,0,0,67.76923077,0.183485478,0,0,68.48717949,0.183485478,0,0,59.52350598,0.183485478,0,0.18422729,46.91145369,0.174021181
103,SCENE,56.1272,-4.61835,0,0,68.37662338,0.209199756,0,0,68.14469453,0.209199756,0,0,64.69610183,0.209199756,0,0.184133452,49.88615816,0.174021181
104,SCENE,56.1271,-4.6187,0,0,69.27848101,0.209199756,0,0,67.74760383,0.209199756,0,0,64.82043097,0.209199756,0,0.184063136,50.22505092,0.174021181
105,SCENE,56.1271,-4.6189,0,0,69.25925926,0.173485458,0,0,67.67823344,0.173485458,0,0,65.14387917,0.173485458,0,0.184063136,50.65949593,0.174021181
106,SCENE,56.12725,-4.6189,0,0,69.35064935,0.173485458,0,0,67.93247588,0.173485458,0,0,66.23407643,0.173485458,0,0.184203822,51.6310828,0.174021181
107,SCENE,56.12685,-4.62055,0,0,66.32432432,0.154914051,0,0,66.59935897,0.154914051,0,0,64.6696,0.154914051,0,0.050395509,51.92944629,0.168723558
108,SCENE,56.12725,-4.6191,0,0,69.25316456,0.173485458,0,0,67.96845426,0.173485458,0,0,66.49601911,0.173485458,0,0.184156903,52.17116658,0.174021181
109,SCENE,56.1268,-4.61935,0,0,68.21794872,0.154914051,0,0,67.46623794,0.154914051,0,0,63.95385839,0.154914051,0,0.184156903,48.95045848,0.166954854
11,kelvingrove_park,56.1302,-4.6164,0,0,71.25641026,0.209199756,0,0,70.63141026,0.209199756,0,0,66.75159744,0.209199756,0,0.18403971,57.9123075,0.170866425
11,cashel,56.1302,-4.6164,0,0,71.25641026,0.209199756,0,0,70.63141026,0.209199756,0,0,66.75159744,0.209199756,0,0.18403971,57.9123075,0.170866425
11,cochno,56.1302,-4.6164,0,0,71.25641026,0.209199756,0,0,70.63141026,0.209199756,0,0,66.75159744,0.209199756,0,0.18403971,57.9123075,0.170866425
11,SCENE,56.1302,-4.6164,0,0,71.25641026,0.209199756,0,0,70.63141026,0.209199756,0,0,66.75159744,0.209199756,0,0.18403971,57.9123075,0.170866425
110,SCENE,56.1271,-4.6193,0,0,69.07692308,0.173485458,0,0,67.76190476,0.173485458,0,0,65.79110405,0.173485458,0,0.184016289,51.46245864,0.174021181
111,SCENE,56.12715,-4.6197,0,0,68.75324675,0.173485458,0,0,67.585209,0.173485458,0,0,66.1625498,0.173485458,0,0.184274245,52.56441952,0.168723558
