No,Habitat,Site ,ID,Date,Total ,Anthro,Moss ,Feather,Wool/Hair,Arthropod,Red,White,Yellow,Green,Blue,Black,orange
1,Rural,SCENE,157,14/06/2023,15.372,0.235,12.565,0.554,2.005,0,1,0,0,0,0,0,0
2,Rural,SCENE,23,27/06/2023,16.72,0,13.755,0.31,0.296,12,0,0,0,0,0,0,0
3,Rural,SCENE,2,27/06/2023,17.794,0,15.393,1.186,0.612,1,0,0,0,0,0,0,0
4,Rural,SCENE,159,27/06/2023,20.154,0,18.737,0.163,0.49,8,0,0,0,0,0,0,0
5,Rural,SCENE,172,14/06/2023,19.453,0,13.309,0.331,4.212,5,0,0,0,0,0,0,0
6,Rural,SCENE,154,14/06/2023,17.75,0.009,16.667,0.339,0.027,8,1,1,0,0,0,0,0
7,Rural,SCENE,20,27/06/2023,13.386,0.157,11.544,0.99,0.338,6,0,1,1,1,0,0,0
8,Rural,Sallochy,261,14/06/2023,16.324,0.034,14.696,0.694,0.251,1,0,0,0,0,1,0,0
9,Rural,Sallochy,251,14/06/2023,22.397,0.013,19.397,1.644,0.611,1,1,1,0,0,1,0,0
10,Rural,Sallochy,272,14/06/2023,19.453,0.001,17.102,0.26,1.516,1,0,0,0,0,1,0,0
11,Rural,SCENE,8,14/06/2023,16.357,0,14.507,0.889,0,8,0,0,0,0,0,0,0
12,Rural,SCENE,24,14/06/2023,11.502,0,8.438,2.865,0.001,3,0,0,0,0,0,0,0
13,Rural,SCENE,16,27/06/2023,29.044,0,28.984,0.22,0.035,10,0,0,0,0,0,0,0
14,Rural,Cashel,408,28/06/2023,19.634,0,14.448,1.187,3.71,1,0,0,0,0,0,0,0
15,Rural,Cashel ,418,28/06/2023,18.121,0.017,5.901,0.173,5.816,19,0,1,0,0,1,0,0
16,Rural,Cashel ,402,28/06/2023,21.071,0.001,14.965,0.309,5.753,2,0,0,0,0,1,0,0
17,Rural,SCENE,6,14/06/2023,20.249,0,19.658,0.056,0.001,7,0,0,0,0,0,0,0
18,Rural,SCENE,165,14/06/2023,10.256,0.008,9.122,1.196,0.001,5,0,0,0,0,1,0,0
19,Rural,Cashel,417,28/06/2023,18.384,0,16.247,0.748,1.895,9,0,0,0,0,0,0,0
20,Rural,SCENE,113,27/06/2023,7.454,0,6.855,0.344,0.001,1,0,0,0,0,0,0,0
21,Rural,Cashel,430,28/06/2023,15.647,0,14.493,1.605,0.001,2,0,0,0,0,0,0,0
22,Rural,SCENE,18,14/06/2023,12.113,0,8.431,3.768,0.001,3,0,0,0,0,0,0,0
23,Rural,SCENE,73,27/06/2023,13.012,0.016,12.23,0.395,0.198,2,1,1,0,0,0,0,0
24,Rural,Cashel,429,28/06/2023,21.335,0.001,21.125,0.547,0.001,11,1,0,0,0,0,0,0
25,Rural,SCENE,162,27/06/2023,22.444,0,22.165,0.544,0.001,9,0,0,0,0,0,1,0
26,Rural,SCENE,88,27/06/2023,20.435,0.001,18.607,0.88,0.052,5,0,0,0,0,1,0,0
27,Rural,Sallochy,235,27/06/2023,15.364,0.001,13.885,0.491,0.919,1,0,1,1,0,1,0,0
28,Rural,Sallochy,273,27/06/2023,29.923,0.001,22.801,5.658,0.001,10,1,0,1,0,1,0,0
29,Rural,Sallochy,254,27/06/2023,22.597,0.001,20.73,0.558,1.287,5,0,0,1,0,0,0,0
30,Rural,Sallochy,208,27/06/2023,21.05,0.016,21.035,0.704,0.001,13,1,1,0,0,1,0,0
31,Rural,SCENE,147,27/06/2023,45.792,0,22.981,0,0.001,4,0,0,0,0,0,0,0
