"","ID","hatch_per","fledg_per","unhat_per","clutch_size"
"1",113,100,80,0,10
"2",154,100,100,0,9
"3",157,0,0,100,4
"4",159,100,100,0,8
"5",16,71.4285714285714,80,28.5714285714286,7
"6",162,75,83.3333333333333,25,8
"7",165,100,100,0,7
"8",172,100,100,0,7
"9",18,100,100,0,8
"10",2,85.7142857142857,100,14.2857142857143,7
"11",20,90,100,10,10
"12",208,100,100,0,7
"13",224,100,100,0,7
"14",225,85.7142857142857,100,14.2857142857143,7
"15",23,100,88.8888888888889,0,9
"16",235,100,100,0,3
"17",24,87.5,100,12.5,8
"18",254,100,62.5,0,8
"19",261,83.3333333333333,80,16.6666666666667,6
"20",272,88.8888888888889,87.5,11.1111111111111,9
"21",273,80,75,20,5
"22",402,87.5,85.7142857142857,12.5,8
"23",405,87.5,100,12.5,8
"24",408,80,100,20,5
"25",417,100,87.5,0,8
"26",418,100,85.7142857142857,0,7
"27",425,85.7142857142857,100,0,7
"28",429,100,62.5,0,8
"29",430,88.8888888888889,100,11.1111111111111,9
"30",501,55.5555555555556,100,44.4444444444444,9
"31",505,100,75,0,8
"32",510,87.5,100,12.5,8
"33",524,85.7142857142857,100,14.2857142857143,7
"34",525,62.5,100,37.5,8
"35",526,0,0,100,7
"36",527,100,37.5,0,8
"37",534,85.7142857142857,100,14.2857142857143,7
"38",535,0,0,100,8
"39",541,50,100,50,4
"40",545,88.8888888888889,100,11.1111111111111,9
"41",550,87.5,100,12.5,8
"42",551,83.3333333333333,100,16.6666666666667,6
"43",577,87.5,85.7142857142857,12.5,8
"44",6,71.4285714285714,100,14.2857142857143,7
"45",606,80,100,20,10
"46",611,85.7142857142857,100,14.2857142857143,7
"47",614,88.8888888888889,62.5,11.1111111111111,9
"48",633,62.5,0,37.5,8
"49",645,87.5,28.5714285714286,12.5,8
"50",647,100,0,0,9
"51",653,87.5,71.4285714285714,12.5,8
"52",659,90.9090909090909,100,9.09090909090909,11
"53",701,100,100,0,7
"54",706,0,0,100,1
"55",716,80,75,20,10
"56",723,100,88.8888888888889,0,9
"57",73,100,66.6666666666667,0,6
"58",733,88.8888888888889,100,11.1111111111111,9
"59",743,90,100,10,10
"60",744,66.6666666666667,100,33.3333333333333,9
"61",746,100,91.6666666666667,0,12
"62",750,83.3333333333333,100,33.3333333333333,6
"63",8,100,100,0,6
"64",88,85.7142857142857,0,14.2857142857143,7
